W_x,L_x,W_PCT_x,MIN_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,W_y,L_y,W_PCT_y,MIN_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,totalPoints
41,40,0.506,265,51,92,0.554,10,33,0.303,19,28,0.679,4,34,38,32,11,7,20,19,53,28,0.654,265,51,102,0.5,11,22,0.5,23,29,0.793,13,39,52,33,10,2,20,22,267
41,39,0.513,240,43,84,0.512,13,30,0.433,35,40,0.875,12,36,48,30,10,5,16,23,34,46,0.425,240,45,94,0.479,6,28,0.214,20,26,0.769,12,27,39,23,10,9,14,26,250
39,39,0.5,265,51,108,0.472,12,35,0.343,18,22,0.818,16,37,53,28,10,3,9,22,37,42,0.468,265,49,95,0.516,10,38,0.263,22,32,0.688,10,37,47,24,4,3,14,15,262
38,38,0.5,240,41,89,0.461,12,27,0.444,26,33,0.788,14,37,51,25,5,3,12,16,48,29,0.623,240,47,93,0.505,9,25,0.36,15,22,0.682,10,30,40,20,5,6,8,24,238
37,38,0.493,240,45,98,0.459,7,31,0.226,22,26,0.846,14,34,48,27,4,5,10,15,47,27,0.635,240,48,89,0.539,13,33,0.394,14,19,0.737,6,33,39,28,8,7,11,22,242
37,37,0.5,240,53,96,0.552,15,30,0.5,22,25,0.88,15,27,42,33,10,8,11,14,33,42,0.44,240,52,96,0.542,14,37,0.378,12,12,1.0,10,22,32,33,7,7,17,18,273
36,36,0.5,240,44,95,0.463,14,38,0.368,27,36,0.75,21,40,61,26,5,6,9,20,16,57,0.219,240,37,91,0.407,13,40,0.325,20,24,0.833,9,26,35,20,8,2,9,26,236
35,35,0.5,240,47,100,0.47,16,41,0.39,17,25,0.68,13,32,45,27,7,8,10,15,36,35,0.507,240,47,98,0.48,11,40,0.275,14,20,0.7,16,38,54,28,6,9,17,20,246
34,35,0.493,240,44,97,0.454,4,22,0.182,23,28,0.821,18,33,51,17,6,4,15,19,35,34,0.507,240,54,92,0.587,12,28,0.429,16,23,0.696,5,32,37,39,12,10,10,22,251
34,34,0.5,240,50,100,0.5,10,34,0.294,15,16,0.938,13,35,48,24,4,4,10,17,47,21,0.691,240,52,95,0.547,20,42,0.476,10,12,0.833,5,35,40,35,6,6,8,21,259
